Pair Compared	DIFF	LWR	UPR	P.adj
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-somatic	2.1514285714285686	-7.83639663410126	12.139253776958398	0.9999949130033288
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	1.9314285714285466	-8.056396634101283	11.919253776958374	0.9999988213000248
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma (WHO grade I/II)	-0.9541071428571775	-5.948019745622092	4.039805459907737	0.999999001432324
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, RTK, CDKN2A/B	1.316632653061222	-5.6442028668123765	8.277468172934821	0.999999129923431
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-germline	1.751428571428559	-8.23639663410127	11.739253776958387	0.9999996949103067
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, H3	1.7314285714285362	-8.256396634101293	11.719253776958364	0.9999997400344582
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	1.4200000000000041	-6.936414101476291	9.776414101476298	0.9999998032665767
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma (WHO grade I/II)	0.7201785714285329	-3.5563526859076173	4.996709828764683	0.9999998266145678
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, MYB/MYBL1	1.0870833333333345	-5.445426066195859	7.619592732862529	0.9999998532412537
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, other MAPK, IDH	1.6216326530612208	-8.125486693612539	11.36875199973498	0.9999998537457206
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, other MAPK	0.4802040816326554	-2.443931722369472	3.4043398856347826	0.9999998781553854
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, NF1-somatic	1.6137499999999987	-8.620725314007448	11.848225314007443	0.999999931290648
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma (WHO grade I/II)	-1.4312500000000357	-11.665725314007481	8.80322531400741	0.9999999875307612
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma (WHO grade I/II)	-0.9045833333333714	-7.437092732862565	5.627926066195823	0.999999989171921
