err.rate	mtry	ntree	nodesize	nsplit
0.3663264705882353	1	100	5	0
0.4399283259120381	1	100	5	1
0.3423529411764706	1	100	10	0
0.4191535842632873	1	100	10	1
0.4384354213661866	1	100	20	0
0.5547549019607844	1	100	20	1
0.8001773573751109	1	100	25	0
0.8409371884346959	1	100	25	1
0.775557843137255	1	100	30	0
0.8208333333333333	1	100	30	1
0.3231281156530409	1	200	5	0
0.3733901960784314	1	200	5	1
0.356421568627451	1	200	10	0
0.384894070304178	1	200	10	1
0.445	1	200	20	0
0.5578214786448197	1	200	20	1
0.8370343137254902	1	200	25	0
0.864093137254902	1	200	25	1
0.8583823529411765	1	200	30	0
0.8405093137254902	1	200	30	1
0.32441176470588234	1	300	5	0
0.355359477124183	1	300	5	1
0.33851307189542484	1	300	10	0
0.4323764705882353	1	300	10	1
0.40491026919242273	1	300	20	0
0.5489869281045752	1	300	20	1
0.8904588235294117	1	300	25	0
0.8782845906724271	1	300	25	1
0.8606209150326798	1	300	30	0
0.8740359477124183	1	300	30	1
0.3224781319713514	1	400	5	0
0.34253676470588235	1	400	5	1
0.32361811391223155	1	400	10	0
0.4100245098039216	1	400	10	1
0.4068769882584302	1	400	20	0
0.5158088235294117	1	400	20	1
0.9008333333333334	1	400	25	0
0.8970735294117647	1	400	25	1
0.8968504901960784	1	400	30	0
0.8891735600490196	1	400	30	1
0.31027450980392157	1	500	5	0
0.3874670794633643	1	500	5	1
0.3055098039215686	1	500	10	0
0.35827450980392156	1	500	10	1
0.4733447523815402	1	500	20	0
0.4923499276353615	1	500	20	1
0.9107549019607843	1	500	25	0
0.9025294117647059	1	500	25	1
0.9102525490196078	1	500	30	0
0.8935196078431372	1	500	30	1
0.3286601307189543	1	600	5	0
0.38678104575163397	1	600	5	1
0.3186111111111111	1	600	10	0
0.40733660130718957	1	600	10	1
0.4035947712418301	1	600	20	0
0.4291582387340901	1	600	20	1
0.8985218702865762	1	600	25	0
0.9005240739583116	1	600	25	1
0.8906513409961686	1	600	30	0
0.9280209150326797	1	600	30	1
0.31665266106442574	1	700	5	0
0.3323809523809524	1	700	5	1
0.3537535014005602	1	700	10	0
0.38615808823529413	1	700	10	1
0.4269560224089636	1	700	20	0
0.46025210084033613	1	700	20	1
0.9215994015654531	1	700	25	0
0.9013546683495532	1	700	25	1
0.929156862745098	1	700	30	0
0.9114663987865889	1	700	30	1
0.32784029628711336	1	800	5	0
0.3449264705882353	1	800	5	1
0.3336764705882353	1	800	10	0
0.3358517156862745	1	800	10	1
0.40140931372549016	1	800	20	0
0.43262254901960784	1	800	20	1
0.9210661764705883	1	800	25	0
0.9235875706214689	1	800	25	1
0.9232843137254902	1	800	30	0
0.9279666569598136	1	800	30	1
0.3243271241830065	1	900	5	0
0.36917543665300395	1	900	5	1
0.3285838779956427	1	900	10	0
0.38559912854030504	1	900	10	1
0.37016339869281045	1	900	20	0
0.46763154902415616	1	900	20	1
0.9255202909789151	1	900	25	0
0.9308442265795207	1	900	25	1
0.9163235294117646	1	900	30	0
0.9222074517189173	1	900	30	1
0.32033333333333336	1	1000	5	0
0.3708946493851778	1	1000	5	1
0.3333015577772611	1	1000	10	0
0.36508823529411766	1	1000	10	1
0.3970134496009459	1	1000	20	0
0.4504911930874045	1	1000	20	1
0.92811621710594	1	1000	25	0
0.9305859803921568	1	1000	25	1
0.9194411764705882	1	1000	30	0
0.9319503882089749	1	1000	30	1
0.3275367201426025	1	1100	5	0
0.3714795008912656	1	1100	5	1
0.3090819964349376	1	1100	10	0
0.38999108734402854	1	1100	10	1
0.3906355614973262	1	1100	20	0
0.474752495543672	1	1100	20	1
0.9297638146167558	1	1100	25	0
0.9413662044170519	1	1100	25	1
0.9432352941176471	1	1100	30	0
0.9367557932263815	1	1100	30	1
0.31544934640522876	1	1200	5	0
0.3418127996214226	1	1200	5	1
0.3395915032679739	1	1200	10	0
0.38297603809080505	1	1200	10	1
0.3959316945168872	1	1200	20	0
0.4338031045751634	1	1200	20	1
0.9452859959126226	1	1200	25	0
0.9368790849673203	1	1200	25	1
0.9282516339869281	1	1200	30	0
0.9435457516339869	1	1200	30	1
0.30123025385702873	1	1300	5	0
0.3654971342383107	1	1300	5	1
0.3384440268936779	1	1300	10	0
0.3594920204563553	1	1300	10	1
0.38144796380090495	1	1300	20	0
0.4052450980392157	1	1300	20	1
0.9422583114387194	1	1300	25	0
0.9257805429864253	1	1300	25	1
0.9299283559577677	1	1300	30	0
0.9336807521047034	1	1300	30	1
0.32065826330532216	1	1400	5	0
0.3263043417366947	1	1400	5	1
0.3225528024027515	1	1400	10	0
0.3801610644257703	1	1400	10	1
0.42904761904761907	1	1400	20	0
0.4661939775910364	1	1400	20	1
0.9446778711484594	1	1400	25	0
0.9389180672268908	1	1400	25	1
0.9488650714523098	1	1400	30	0
0.9332703081232493	1	1400	30	1
0.3141993464052288	1	1500	5	0
0.3495569934640523	1	1500	5	1
0.31915868767362165	1	1500	10	0
0.35337908496732023	1	1500	10	1
0.3840054122700284	1	1500	20	0
0.42647953964194374	1	1500	20	1
0.9382320261437909	1	1500	25	0
0.9387438725490196	1	1500	25	1
0.934608755289454	1	1500	30	0
0.9310751633986928	1	1500	30	1
0.31662990196078433	1	1600	5	0
0.3631740196078431	1	1600	5	1
0.309366574754902	1	1600	10	0
0.37546262254901963	1	1600	10	1
0.4150031665350704	1	1600	20	0
0.45424632352941174	1	1600	20	1
0.9381464460784313	1	1600	25	0
0.9416666666666667	1	1600	25	1
0.9482046568627451	1	1600	30	0
0.9339613970588235	1	1600	30	1
0.30681949250288354	1	1700	5	0
0.3501095732410611	1	1700	5	1
0.34297946943483276	1	1700	10	0
0.3383679354094579	1	1700	10	1
0.4055459082688994	1	1700	20	0
0.46628633217993076	1	1700	20	1
0.9356343713956171	1	1700	25	0
0.9427076124567474	1	1700	25	1
0.937984429065744	1	1700	30	0
0.9325190904076115	1	1700	30	1
0.31387531848897754	1	1800	5	0
0.34951911607759434	1	1800	5	1
0.3255959262543655	1	1800	10	0
0.34099575163398693	1	1800	10	1
0.39380718954248367	1	1800	20	0
0.44314387917329096	1	1800	20	1
0.9465417156702077	1	1800	25	0
0.9362608932461873	1	1800	25	1
0.946351294987332	1	1800	30	0
0.9529514705882353	1	1800	30	1
0.2874303405572755	1	1900	5	0
0.3513736968690529	1	1900	5	1
0.3217853457172343	1	1900	10	0
0.3540747678018576	1	1900	10	1
0.41121540482221597	1	1900	20	0
0.45276878809600063	1	1900	20	1
0.9493627450980392	1	1900	25	0
0.9413456997428766	1	1900	25	1
0.9398839009287926	1	1900	30	0
0.9439770495995324	1	1900	30	1
0.3340089730807577	1	2000	5	0
0.35940686274509803	1	2000	5	1
0.32281452835457686	1	2000	10	0
0.3514411764705882	1	2000	10	1
0.3823872549019608	1	2000	20	0
0.4415171568627451	1	2000	20	1
0.9468455882352941	1	2000	25	0
0.942578431372549	1	2000	25	1
0.9469313318688471	1	2000	30	0
0.943525602597727	1	2000	30	1
0.415770944741533	2	100	5	0
0.43105392156862743	2	100	5	1
0.3954901960784314	2	100	10	0
0.44676470588235295	2	100	10	1
0.4640079760717846	2	100	20	0
0.3746583850931677	2	100	20	1
0.8099286987522282	2	100	25	0
0.7695741070150688	2	100	25	1
0.8427941176470588	2	100	30	0
0.8341176470588235	2	100	30	1
0.37098039215686274	2	200	5	0
0.3447836375929682	2	200	5	1
0.3591245098039216	2	200	10	0
0.37305104800540906	2	200	10	1
0.4989705882352941	2	200	20	0
0.4332556382236689	2	200	20	1
0.8298039215686275	2	200	25	0
0.8711921568627451	2	200	25	1
0.8311671568627451	2	200	30	0
