"pathway"	"1"	"2"	"3"
"M1"	0.592428602082691	-0.646681354598934	0.496354042429988
"M2"	0.483467544068675	-0.359529026870529	0.2751025279998
"M3"	-0.737076595844694	-0.269215829468948	0.854819714855545
"M4"	-0.822600286991983	0.954051537859402	-0.652636085478445
"M5"	0.573781347099723	-0.361456108046219	-0.17609641579145
"M6"	-0.303063457330416	-0.41784190121721	0.672617980662451
"M7"	0.380986727863343	0.295944642756656	-0.766651248312644
"M8"	-0.630057168085112	0.799600331558267	-0.390832619949664
"M9"	0.39031853800626	-0.240856479085426	-0.336734693877551
"Not.Correlated"	-0.293610276617515	0.564405295077874	-0.385908448422685
