Pair Compared	DIFF	LWR	UPR	P.adj
EPN_Ependymoma, Supratentorial, YAP1 fusion positive n=3-Cranio_Craniopharyngioma n=11	33.90121212121215	-19.618155358179692	87.42057960060399	0.8706265664068982
HGG_Brainstem glioma_ Diffuse intrinsic pontine glioma n=4-Cranio_Craniopharyngioma n=11	54.57204545454522	6.596136080907797	102.54795482818264	0.006978695037296867
HGG_Diffuse midline glioma, H3 K28_mutant n=54-Cranio_Craniopharyngioma n=11	53.4452861952859	26.26416418655966	80.62640820401214	4.3845782560225643e-10
HGG_High_grade glioma/astrocytoma (WHO grade III/IV) n=24-Cranio_Craniopharyngioma n=11	25.364128787878748	-4.554107161299182	55.28236473705668	0.26580765063173806
HGG_High_grade glioma/astrocytoma, H3 G35_mutant n=3-Cranio_Craniopharyngioma n=11	43.16454545454518	-10.354822024846662	96.68391293393702	0.3740256300836221
HGG_High_grade glioma/astrocytoma, H3 wildtype n=32-Cranio_Craniopharyngioma n=11	23.39329545454575	-5.325539661364566	52.11213057045607	0.35137759065430474
HGG_High_grade glioma/astrocytoma, IDH_mutant n=2-Cranio_Craniopharyngioma n=11	27.504545454545358	-35.65867426807182	90.66776517716254	0.9994449405470665
LGG_Low_grade glioma/astrocytoma (WHO grade I/II) n=8-Cranio_Craniopharyngioma n=11	9.86329545454553	-28.31700912094729	48.04360003003835	0.999999997736496
LGG_Low_grade glioma/astrocytoma, BRAF V600E n=32-Cranio_Craniopharyngioma n=11	8.032982954545457	-20.68585216136486	36.75181807045577	0.9999999806947881
LGG_Low_grade glioma/astrocytoma, BRAF V600E, CDKN2A/B n=4-Cranio_Craniopharyngioma n=11	4.769545454545479	-43.20636391909194	52.7454548281829	1
LGG_Low_grade glioma/astrocytoma, FGFR n=7-Cranio_Craniopharyngioma n=11	24.827402597402752	-14.900424686849881	64.55522988165538	0.8866938487108817
LGG_Low_grade glioma/astrocytoma, H3 n=1-Cranio_Craniopharyngioma n=11	7.474545454545522	-78.34737025891256	93.2964611680036	1
LGG_Low_grade glioma/astrocytoma, IDH n=4-Cranio_Craniopharyngioma n=11	6.2920454545454785	-41.68386391909194	54.2679548281829	1
LGG_Low_grade glioma/astrocytoma, KIAA1549_BRAF n=104-Cranio_Craniopharyngioma n=11	10.049353146853225	-16.002572626059052	36.101278919765505	0.9999531429035486
LGG_Low_grade glioma/astrocytoma, MYB/MYBL1 n=3-Cranio_Craniopharyngioma n=11	35.334545454545186	-18.184822024846653	88.85391293393702	0.8116039359300088
LGG_Low_grade glioma/astrocytoma, NF1_germline n=1-Cranio_Craniopharyngioma n=11	7.8945454545454155	-77.92737025891267	93.71646116800349	1
LGG_Low_grade glioma/astrocytoma, NF1_somatic n=1-Cranio_Craniopharyngioma n=11	0.09454545454542895	-85.72737025891266	85.91646116800351	1
LGG_Low_grade glioma/astrocytoma, NF1_somatic, FGFR n=1-Cranio_Craniopharyngioma n=11	27.544545454545826	-58.277370258912256	113.36646116800391	0.9999993441962689
LGG_Low_grade glioma/astrocytoma, other MAPK n=14-Cranio_Craniopharyngioma n=11	9.804545454545497	-23.3019772823317	42.91106819142269	0.9999999139788778
LGG_Low_grade glioma/astrocytoma, other MAPK, IDH n=1-Cranio_Craniopharyngioma n=11	9.724545454545432	-76.09737025891265	95.54646116800352	1
LGG_Low_grade glioma/astrocytoma, RTK n=8-Cranio_Craniopharyngioma n=11	9.565795454545409	-28.61450912094741	47.74610003003823	0.9999999990264592
LGG_Low_grade glioma/astrocytoma, RTK, CDKN2A/B n=2-Cranio_Craniopharyngioma n=11	5.884545454545497	-57.27867426807168	69.04776517716267	1
LGG_Low_grade glioma/astrocytoma, wildtype n=49-Cranio_Craniopharyngioma n=11	6.816586270872046	-20.59821908549219	34.231391627236285	0.9999999992114623
Medullo_Medulloblastoma n=18-Cranio_Craniopharyngioma n=11	0.8828787878788145	-30.563477304761477	32.3292348805191	1
Medullo_Medulloblastoma, group 3 n=11-Cranio_Craniopharyngioma n=11	-2.3009090909090695	-37.337559465262075	32.73574128344393	1
Medullo_Medulloblastoma, group 4 n=47-Cranio_Craniopharyngioma n=11	0.13411992263058536	-27.387414861925862	27.655654707187033	1
Medullo_Medulloblastoma, SHH_activated n=23-Cranio_Craniopharyngioma n=11	-0.8302371541501721	-30.952189845580083	29.29171553727974	1
Medullo_Medulloblastoma, WNT_activated n=9-Cranio_Craniopharyngioma n=11	1.1756565656565918	-35.756215689658944	38.10752882097212	1
EPN_Ependymoma, H3 K28_mutant n=1-EPN_Ependymoma n=47	-7.42595744680853	-90.46371526920402	75.61180037558697	1
EPN_Ependymoma, Posterior Fossa, Type A n=1-EPN_Ependymoma n=47	-6.425957446808535	-89.46371526920403	76.61180037558695	1
EPN_Ependymoma, Supratentorial, RELA fusion positive n=20-EPN_Ependymoma n=47	-11.360457446808526	-33.297465703867054	10.576550810250003	0.9892249197541357
EPN_Ependymoma, Supratentorial, YAP1 fusion positive n=3-EPN_Ependymoma n=47	20.820709219858152	-28.109758822426954	69.75117726214326	0.9996450817627133
HGG_Brainstem glioma_ Diffuse intrinsic pontine glioma n=4-EPN_Ependymoma n=47	41.49154255319122	-1.305138248833245	84.28822335521569	0.07324657703183268
HGG_Diffuse midline glioma, H3 K28_mutant n=54-EPN_Ependymoma n=47	40.36478329393191	23.97327936365871	56.75628722420511	3.195821385304498e-10
HGG_High_grade glioma/astrocytoma (WHO grade III/IV) n=24-EPN_Ependymoma n=47	12.283625886524753	-8.331146723270933	32.89839849632044	0.9317511949705777
HGG_High_grade glioma/astrocytoma, H3 G35_mutant n=3-EPN_Ependymoma n=47	30.084042553191182	-18.846425489093924	79.01451059547628	0.9040786110818544
HGG_High_grade glioma/astrocytoma, H3 wildtype n=32-EPN_Ependymoma n=47	10.312792553191755	-8.51908196470325	29.14466707108676	0.9760817407924673
HGG_High_grade glioma/astrocytoma, IDH_mutant n=2-EPN_Ependymoma n=47	14.424042553191363	-44.90099712796279	73.74908223434551	0.99999999957788
LGG_Low_grade glioma/astrocytoma (WHO grade I/II) n=8-EPN_Ependymoma n=47	-3.217207446808466	-34.64336955611316	28.20895466249622	1
LGG_Low_grade glioma/astrocytoma, BRAF V600E n=32-EPN_Ependymoma n=47	-5.0475199468085385	-23.879394464703545	13.784354571086467	0.9999999938342339
LGG_Low_grade glioma/astrocytoma, BRAF V600E, CDKN2A/B n=4-EPN_Ependymoma n=47	-8.310957446808516	-51.107638248832984	34.48572335521595	1
LGG_Low_grade glioma/astrocytoma, FGFR n=7-EPN_Ependymoma n=47	11.746899696048757	-21.54226172580607	45.036061117903586	0.999993636662792
LGG_Low_grade glioma/astrocytoma, H3 n=1-EPN_Ependymoma n=47	-5.605957446808473	-88.64371526920397	77.43180037558702	1
LGG_Low_grade glioma/astrocytoma, IDH n=4-EPN_Ependymoma n=47	-6.788457446808517	-49.58513824883298	36.008223355215954	1
LGG_Low_grade glioma/astrocytoma, KIAA1549_BRAF n=104-EPN_Ependymoma n=47	-3.0311497545007704	-17.473131748681162	11.410832239679621	0.9999999999938303
LGG_Low_grade glioma/astrocytoma, MYB/MYBL1 n=3-EPN_Ependymoma n=47	22.25404255319119	-26.676425489093916	71.1845105954763	0.9987513954451275
LGG_Low_grade glioma/astrocytoma, NF1_germline n=1-EPN_Ependymoma n=47	-5.18595744680858	-88.22371526920406	77.85180037558692	1
LGG_Low_grade glioma/astrocytoma, NF1_somatic n=1-EPN_Ependymoma n=47	-12.985957446808566	-96.02371526920406	70.05180037558692	1
LGG_Low_grade glioma/astrocytoma, NF1_somatic, FGFR n=1-EPN_Ependymoma n=47	14.464042553191831	-68.57371526920366	97.50180037558732	1
LGG_Low_grade glioma/astrocytoma, other MAPK n=14-EPN_Ependymoma n=47	-3.2759574468084978	-28.29414793233855	21.742233038721555	1
LGG_Low_grade glioma/astrocytoma, other MAPK, IDH n=1-EPN_Ependymoma n=47	-3.3559574468085636	-86.39371526920405	79.68180037558693	1
LGG_Low_grade glioma/astrocytoma, RTK n=8-EPN_Ependymoma n=47	-3.514707446808586	-34.94086955611327	27.9114546624961	1
LGG_Low_grade glioma/astrocytoma, RTK, CDKN2A/B n=2-EPN_Ependymoma n=47	-7.195957446808498	-66.52099712796264	52.12908223434565	1
LGG_Low_grade glioma/astrocytoma, wildtype n=49-EPN_Ependymoma n=47	-6.263916630481949	-23.04007710212256	10.512243841158659	0.9999770455130558
Medullo_Medulloblastoma n=18-EPN_Ependymoma n=47	-12.19762411347518	-34.97351748668965	10.578269259739292	0.9824306689216382
Medullo_Medulloblastoma, group 3 n=11-EPN_Ependymoma n=47	-15.381411992263065	-42.90294677681951	12.140122792293383	0.9686607298735266
Medullo_Medulloblastoma, group 4 n=47-EPN_Ependymoma n=47	-12.94638297872341	-29.896394316196023	4.003628358749204	0.5036250502124635
Medullo_Medulloblastoma, SHH_activated n=23-EPN_Ependymoma n=47	-13.910740055504167	-34.82006910709359	6.998588996085257	0.799071840091259
Medullo_Medulloblastoma, WNT_activated n=9-EPN_Ependymoma n=47	-11.904846335697403	-41.8018561481493	17.99216347675449	0.9999078172403759
EPN_Ependymoma, Posterior Fossa, Type A n=1-EPN_Ependymoma, H3 K28_mutant n=1	0.9999999999999947	-115.20342320259398	117.20342320259398	1
EPN_Ependymoma, Supratentorial, RELA fusion positive n=20-EPN_Ependymoma, H3 K28_mutant n=1	-3.9344999999999963	-88.13187924128403	80.26287924128403	1
EPN_Ependymoma, Supratentorial, YAP1 fusion positive n=3-EPN_Ependymoma, H3 K28_mutant n=1	28.246666666666684	-66.63303107034889	123.12636440368226	0.9999999015173471
HGG_Brainstem glioma_ Diffuse intrinsic pontine glioma n=4-EPN_Ependymoma, H3 K28_mutant n=1	48.917499999999755	-42.94937230716396	140.78437230716347	0.9838069871276112
HGG_Diffuse midline glioma, H3 K28_mutant n=54-EPN_Ependymoma, H3 K28_mutant n=1	47.79074074074044	-35.13481467450243	130.71629615598331	0.953867019104512
HGG_High_grade glioma/astrocytoma (WHO grade III/IV) n=24-EPN_Ependymoma, H3 K28_mutant n=1	19.709583333333285	-64.15301375013378	103.57218041680035	0.9999999998375977
HGG_High_grade glioma/astrocytoma, H3 G35_mutant n=3-EPN_Ependymoma, H3 K28_mutant n=1	37.509999999999714	-57.36969773701586	132.3896977370153	0.9999207688509755
HGG_High_grade glioma/astrocytoma, H3 wildtype n=32-EPN_Ependymoma, H3 K28_mutant n=1	17.738750000000287	-65.7034805411837	101.18098054118428	0.9999999999910086
HGG_High_grade glioma/astrocytoma, IDH_mutant n=2-EPN_Ependymoma, H3 K28_mutant n=1	21.849999999999895	-78.78511650016058	122.48511650016037	0.9999999999833178
LGG_Low_grade glioma/astrocytoma (WHO grade I/II) n=8-EPN_Ependymoma, H3 K28_mutant n=1	4.208750000000064	-82.94381740194542	91.36131740194556	1
LGG_Low_grade glioma/astrocytoma, BRAF V600E n=32-EPN_Ependymoma, H3 K28_mutant n=1	2.3784374999999915	-81.063793041184	85.82066804118398	1
LGG_Low_grade glioma/astrocytoma, BRAF V600E, CDKN2A/B n=4-EPN_Ependymoma, H3 K28_mutant n=1	-0.8849999999999856	-92.75187230716371	90.98187230716373	1
LGG_Low_grade glioma/astrocytoma, FGFR n=7-EPN_Ependymoma, H3 K28_mutant n=1	19.17285714285729	-68.66867408241598	107.01438836813057	0.9999999999805302
LGG_Low_grade glioma/astrocytoma, H3 n=1-EPN_Ependymoma, H3 K28_mutant n=1	1.8200000000000571	-114.38342320259392	118.02342320259405	1
LGG_Low_grade glioma/astrocytoma, IDH n=4-EPN_Ependymoma, H3 K28_mutant n=1	0.6375000000000135	-91.2293723071637	92.50437230716373	1
LGG_Low_grade glioma/astrocytoma, KIAA1549_BRAF n=104-EPN_Ependymoma, H3 K28_mutant n=1	4.39480769230776	-78.16751533551519	86.95713072013072	1
LGG_Low_grade glioma/astrocytoma, MYB/MYBL1 n=3-EPN_Ependymoma, H3 K28_mutant n=1	29.679999999999723	-65.19969773701585	124.5596977370153	0.9999996537036084
