Pair Compared	DIFF	LWR	UPR	P.adj
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, MYB/MYBL1	-28.51795918367379	-55.01098765032418	-2.0249307170233983	0.019001809273977988
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-10.879590301003352	-21.143430328886517	-0.6157502731201898	0.023611405054351886
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, FGFR	-23.651746031745958	-46.09978038425918	-1.203711679232736	0.02565096462299199
Low-grade glioma/astrocytoma, other MAPK-High-grade glioma/astrocytoma (WHO grade III/IV)	-15.559583333333332	-30.539547044962752	-0.5796196217039125	0.031057754850513875
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, BRAF V600E	27.301562500000323	0.4056051544826431	54.197519845518	0.04167309005448594
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, FGFR	-18.010816326530545	-36.0092849451669	-0.012347707894196702	0.04959215160522701
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, KIAA1549-BRAF	25.28519230769264	-0.800549628125502	51.37093424351078	0.07143228697696613
Low-grade glioma/astrocytoma, other MAPK-High-grade glioma/astrocytoma, H3 wildtype	-13.58875000000005	-27.862185292307217	0.6846852923071172	0.0865808055077334
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-High-grade glioma/astrocytoma, H3 G35-mutant	-37.27999999999939	-77.94286537670837	3.3828653767095886	0.12561505671535322
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma, BRAF V600E	16.79441964285708	-1.7920495434406796	35.38088882915484	0.14342254185241
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.53000000000034	-53.86925422496645	2.8092542249657697	0.14730336617555806
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	30.56500000000029	-3.4559940250285877	64.58599402502917	0.15088363985032593
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-12.35026223776225	-26.4731825824977	1.7726581069731981	0.18928031600296358
Medulloblastoma, group 3-High-grade glioma/astrocytoma, IDH-mutant	-29.80545454545468	-64.04665147789265	4.435742386983286	0.19637814479794957
Low-grade glioma/astrocytoma, RTK-High-grade glioma/astrocytoma (WHO grade III/IV)	-15.798333333333332	-33.9833195617821	2.3866528951154393	0.19942807697232268
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma, IDH-mutant	-28.334782608695782	-61.17300881566733	4.503443598275766	0.21027190815336128
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-High-grade glioma/astrocytoma (WHO grade III/IV)	-20.594583333333283	-44.65105891113822	3.4618922444716524	0.22320810676734948
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.768750000000338	-55.92513806877271	4.387638068772034	0.22632297663583212
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, IDH	29.042500000000274	-4.978494025028603	63.06349402502915	0.22798068113683978
Low-grade glioma/astrocytoma (WHO grade I/II)-High-grade glioma/astrocytoma (WHO grade III/IV)	-15.500833333333318	-33.68581956178209	2.684152895115453	0.23049653427375594
Medulloblastoma, group 4-High-grade glioma/astrocytoma, IDH-mutant	-27.37042553191499	-59.53091981431327	4.790068750483293	0.2331778400527441
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, FGFR	-14.778049450549396	-32.17144611777316	2.615347216674369	0.23604538831255528
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma (WHO grade I/II)	25.471250000000325	-4.685138068772048	55.6276380687727	0.24630784738198475
Low-grade glioma/astrocytoma, NF1-somatic-High-grade glioma/astrocytoma, H3 G35-mutant	-43.06999999999942	-94.50490831167986	8.364908311681013	0.26174551079081176
Medulloblastoma-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-9.166474358974357	-20.537917779255203	2.204969061306487	0.3347627791346547
Medulloblastoma-High-grade glioma/astrocytoma, IDH-mutant	-26.621666666666783	-59.82275721747408	6.57942388414051	0.3455016135815523
Low-grade glioma/astrocytoma, IDH-High-grade glioma/astrocytoma (WHO grade III/IV)	-19.072083333333268	-43.1285589111382	4.9843922444716675	0.36879174140874815
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-High-grade glioma/astrocytoma, H3 wildtype	-18.62375	-42.24674006196021	4.999240061960204	0.38048814613497317
Low-grade glioma/astrocytoma, RTK-High-grade glioma/astrocytoma, H3 wildtype	-13.82750000000005	-31.43503720344838	3.7800372034482805	0.38865395613173026
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, BRAF V600E	-7.898863031914878	-18.107746094019248	2.3100200301894915	0.42027998661638766
Low-grade glioma/astrocytoma (WHO grade I/II)-High-grade glioma/astrocytoma, H3 wildtype	-13.530000000000037	-31.137537203448368	4.077537203448294	0.43506425690564676
Medulloblastoma, WNT-activated-High-grade glioma/astrocytoma, IDH-mutant	-26.32888888888899	-61.150486427474085	8.492708649696105	0.47002596366834837
High-grade glioma/astrocytoma, H3 wildtype-High-grade glioma/astrocytoma, H3 G35-mutant	-19.771249999999377	-46.667207345517056	7.124707345518303	0.5311281121112428
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, wildtype	-6.682466348241412	-15.776933302305446	2.4120006058226213	0.5320600402806623
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, FGFR	-15.022857142857095	-35.64269335240418	5.59697906668999	0.5503435476588936
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, BRAF V600E	-8.86322010869567	-21.03996028444805	3.313520067056709	0.5523503623678625
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, MYB/MYBL1	-29.450000000000305	-70.11286537670928	11.212865376708674	0.5630396596625544
Low-grade glioma/astrocytoma, IDH-High-grade glioma/astrocytoma, H3 wildtype	-17.101249999999986	-40.72424006196019	6.5217400619602195	0.5639928655449231
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	20.057857142857046	-7.861533067753573	47.97724735346766	0.580174724242018
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, other MAPK	-9.670425531914862	-23.232951176907186	3.8921001130774613	0.5960003481327143
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, other MAPK	-10.634782608695653	-25.73424649994474	4.464681282553434	0.6214079031340717
Low-grade glioma/astrocytoma, H3-High-grade glioma/astrocytoma, H3 G35-mutant	-35.68999999999939	-87.12490831167982	15.744908311681044	0.6514574596433442
Low-grade glioma/astrocytoma, NF1-germline-High-grade glioma/astrocytoma, H3 G35-mutant	-35.26999999999935	-86.70490831167979	16.16490831168108	0.6745888178534523
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, MYB/MYBL1	-35.24000000000033	-86.67490831168075	16.194908311680102	0.6762249833255967
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, wildtype	-7.646823425022204	-18.905643838841023	3.611996988796614	0.6927853609077741
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, other MAPK	-12.10545454545455	-30.052718313196443	5.84180922228734	0.7056239352776491
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, FGFR	-18.53535714285703	-46.45474735346765	9.384033067753588	0.7340022989642409
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, BRAF V600E	-10.333892045454567	-25.902561489358497	5.2347773984493635	0.734333448061179
