c_index	somer_dxy	mtry	ntree	mincriterion
0.5068754774637128	0.013750954927425507	1	100	0.95
0.5103132161955691	0.02062643239113826	1	300	0.8500000000000001
0.5148968678380443	0.029793735676088673	1	200	0.8
0.5258467023172906	0.051693404634581164	1	100	1
0.5271199388846448	0.054239877769289624	2	100	0.95
0.5376878023936847	0.07537560478736949	1	300	0.75
0.5387063916475682	0.07741278329513634	1	200	0.8500000000000001
0.5393430099312452	0.07868601986249035	1	700	0.9
0.5418894830659536	0.08377896613190727	1	500	0.75
0.5449452508276038	0.08989050165520762	1	600	0.95
0.5472370766488414	0.09447415329768272	1	600	0.5
0.5480010185892539	0.09600203717850775	1	1400	0.75
0.5491469314998727	0.09829386299974541	1	100	0.75
0.5491469314998727	0.09829386299974541	1	100	0.8
0.5491469314998727	0.09829386299974541	1	100	0.8500000000000001
0.5491469314998727	0.09829386299974541	1	100	0.9
0.550165520753756	0.10033104150751204	1	400	0.5
0.5511841100076394	0.1023682200152789	1	500	0.8
0.5561497326203209	0.11229946524064172	2	400	1
0.558314234784823	0.11662846956964601	2	100	0.8500000000000001
0.5603514132925898	0.1207028265851795	1	500	0.55
0.5607333842627961	0.12146676852559213	1	500	0.9
0.5617519735166794	0.12350394703335876	1	300	0.5
0.5625159154570919	0.1250318309141838	1	700	0.75
0.564043799337917	0.12808759867583408	1	1900	0.55
0.5656990068754775	0.13139801375095495	1	200	0.6
0.5668449197860963	0.1336898395721926	1	400	0.7
0.5685001273236567	0.13700025464731347	1	1300	0.65
0.5701553348612172	0.14031066972243433	1	200	0.5
0.5702826585179527	0.14056531703590536	1	1400	1
0.5705373058314235	0.14107461166284696	1	800	0.65
0.5707919531448943	0.14158390628978856	1	800	0.9
0.5707919531448943	0.14158390628978856	2	100	0.8
0.5715558950853068	0.1431117901706136	1	700	0.8500000000000001
0.5718105423987777	0.14362108479755542	1	800	0.6
0.5724471606824548	0.14489432136490965	1	1300	1
0.5729564553093965	0.14591291061879308	1	100	0.6
0.5729564553093965	0.14591291061879308	1	100	0.65
0.5729564553093965	0.14591291061879308	1	100	0.7
0.5732111026228673	0.14642220524573468	1	1700	0.9
0.5733384262796027	0.14667685255920548	1	500	1
0.5734657499363381	0.14693149987267629	1	800	1
0.57372039724980906	0.1474407944996181	1	700	0.95
0.5738477209065445	0.1476954418130889	1	1400	0.65
0.5744843391902216	0.14896867838044314	1	400	0.8
0.5747389865036924	0.14947797300738475	1	500	0.7
0.5748663101604278	0.14973262032085555	1	1200	0.5
0.5749936338171632	0.14998726763432635	1	1300	0.8500000000000001
0.5755029284441049	0.15100585688820978	1	1100	0.55
0.5757575757575758	0.1515151515151516	1	900	0.6
0.5758848994143112	0.1517697988286224	1	1300	0.7
0.576139546727782	0.152279093455564	1	700	0.55
0.5763941940412529	0.15278838808250583	1	1800	0.95
0.5765215176979883	0.15304303539597663	1	1600	0.7
0.5770308123249299	0.15406162464985984	1	2000	0.8
0.5772854596384008	0.15457091927680167	1	200	0.75
0.5777947542653425	0.1555895085306851	1	1300	0.6
0.5780494015788133	0.1560988031576267	1	700	1
0.5783040488922842	0.1566080977845683	1	900	1
0.5783040488922842	0.1566080977845683	1	1400	0.7
0.5783040488922842	0.1566080977845683	1	1900	0.9
0.5789406671759613	0.15788133435192253	2	500	1
0.5795772854596384	0.15915457091927676	1	1800	0.65
0.5795772854596384	0.15915457091927676	2	900	0.9
0.5803412274000509	0.1606824548001018	2	200	0.9
0.5805958747135218	0.16119174942704362	2	400	0.95
0.5807231983702572	0.16144639674051442	1	300	0.95
0.5807231983702572	0.16144639674051442	1	1600	0.8500000000000001
0.5811051693404634	0.16221033868092682	1	800	0.95
0.5817417876241405	0.16348357524828105	1	1000	0.55
0.5819964349376114	0.16399286987522288	2	300	0.5
0.5821237585943468	0.16424751718869368	1	100	0.5
0.5821237585943468	0.16424751718869368	1	100	0.55
0.5823784059078176	0.16475681181563528	1	300	1
0.5823784059078176	0.16475681181563528	1	1900	0.7
0.5826330532212886	0.1652661064425771	1	500	0.6
0.5836516424751719	0.16730328495034374	1	400	0.6
0.5836516424751719	0.16730328495034374	1	1100	0.9
0.5837789661319073	0.16755793226381455	1	200	0.65
0.5840336134453782	0.16806722689075637	1	900	0.7
0.5841609371021136	0.16832187420422717	2	1700	1
0.584288260758849	0.16857652151769797	24	400	0.55
0.584288260758849	0.16857652151769797	24	400	0.6
0.584288260758849	0.16857652151769797	24	400	0.65
0.5844155844155844	0.16883116883116878	1	900	0.8
0.5845429080723198	0.16908581614463958	1	600	0.8
0.5846702317290553	0.1693404634581106	1	1700	0.8500000000000001
0.5847975553857907	0.1695951107715814	1	1600	0.95
0.5851795263559969	0.1703590527119938	28	500	0.7
0.5851795263559969	0.1703590527119938	28	500	0.75
0.5851795263559969	0.1703590527119938	28	500	0.8
0.5851795263559969	0.1703590527119938	28	500	0.8500000000000001
0.5853068500127324	0.17061370002546483	1	500	0.8500000000000001
0.5853068500127324	0.17061370002546483	1	1000	1
0.5855614973262032	0.17112299465240643	1	1600	0.9
0.585816144639674	0.17163228927934804	1	800	0.55
0.5859434682964094	0.17188693659281884	2	300	1
0.5863254392666157	0.17265087853323147	2	1600	0.6
0.5864527629233511	0.17290552584670227	1	1100	0.65
0.5864527629233511	0.17290552584670227	1	1200	0.6
0.586707410236822	0.1734148204736441	1	700	0.8
0.5870893812070282	0.1741787624140565	1	1900	1
0.5874713521772346	0.17494270435446913	2	400	0.9
0.5882352941176471	0.17647058823529416	1	900	0.8500000000000001
0.5882352941176471	0.17647058823529416	1	1200	0.9
0.5882352941176471	0.17647058823529416	1	1300	0.5
0.5883626177743825	0.17672523554876496	2	1100	0.8
0.5886172650878533	0.17723453017570656	1	1000	0.95
0.5888719124013242	0.1777438248026484	1	1200	0.65
0.5889992360580596	0.1779984721161192	1	1000	0.9
0.5892538833715304	0.1785077667430608	1	300	0.6
0.5892538833715304	0.1785077667430608	2	600	0.95
0.5893812070282658	0.1787624140565316	1	1700	0.7
0.5897631779984721	0.17952635599694422	2	1300	0.75
0.5903997962821492	0.18079959256429845	1	1100	0.95
0.591545709192768	0.1830914183855361	2	100	0.9
0.5916730328495035	0.1833460656990069	1	600	1
0.5918003565062389	0.1836007130124777	2	800	0.7
0.5919276801629743	0.1838553603259485	1	400	0.95
0.5919276801629743	0.1838553603259485	3	200	1
0.5920550038197097	0.18411000763941932	2	200	1
0.592436974789916	0.18487394957983194	2	1500	0.65
0.5930735930735931	0.18614718614718617	1	800	0.7
0.5933282403870639	0.18665648077412778	1	1100	0.75
0.5933282403870639	0.18665648077412778	2	1500	0.6
0.5934555640437993	0.18691112808759858	1	1200	0.55
0.5934555640437993	0.18691112808759858	2	700	0.8
0.5937102113572702	0.1874204227145404	1	400	0.65
0.5944741532976827	0.18894830659536543	1	1200	0.7
0.5948561242678889	0.18971224853577784	1	200	0.7
0.595492742551566	0.19098548510313207	3	100	0.95
0.595747389865037	0.1914947797300739	1	1100	0.6
0.595747389865037	0.1914947797300739	1	1600	0.65
0.5960020371785077	0.1920040743570155	2	1000	0.9
0.5961293608352431	0.1922587216704863	1	1300	0.9
0.5965113318054495	0.19302266361089893	1	700	0.7
0.5966386554621849	0.19327731092436973	1	1300	0.55
0.5968933027756557	0.19378660555131133	1	900	0.65
0.5968933027756557	0.19378660555131133	1	1600	0.6
0.597275273745862	0.19455054749172396	1	800	0.8
0.5975299210593328	0.19505984211866556	1	1900	0.5
0.5976572447160683	0.19531448943213658	1	2000	0.65
0.5976572447160683	0.19531448943213658	4	600	0.65
0.5977845683728037	0.19556913674560739	1	400	0.8500000000000001
0.5977845683728037	0.19556913674560739	1	1000	0.8
0.5977845683728037	0.19556913674560739	1	1800	0.9
0.5980392156862745	0.196078431372549	1	900	0.75
0.5981665393430099	0.1963330786860198	1	400	0.55
0.5982938629997454	0.19658772599949081	1	2000	0.6
0.5982938629997454	0.19658772599949081	2	500	0.95
0.5982938629997454	0.19658772599949081	2	1200	0.65
0.5984211866564808	0.19684237331296162	2	1400	1
0.5984211866564808	0.19684237331296162	28	800	0.65
0.5986758339699516	0.19735166793990322	1	800	0.75
0.5986758339699516	0.19735166793990322	1	1400	0.5
0.5986758339699516	0.19735166793990322	2	1400	0.65
0.598803157626687	0.19760631525337402	1	500	0.65
0.598803157626687	0.19760631525337402	2	1900	0.95
0.5989304812834224	0.19786096256684482	2	300	0.55
0.5994397759103641	0.19887955182072825	23	1000	0.9
0.5995670995670995	0.19913419913419905	2	1100	0.75
0.5998217468805704	0.19964349376114088	1	1200	0.95
0.5999490705373058	0.19989814107461168	2	300	0.65
0.6000763941940412	0.20015278838808248	1	1300	0.8
0.6000763941940412	0.20015278838808248	1	1900	0.6
0.6002037178507766	0.20040743570155328	2	600	0.65
0.6002037178507766	0.20040743570155328	5	200	1
0.6002037178507766	0.20040743570155328	5	300	0.5
0.6002037178507766	0.20040743570155328	5	300	0.55
0.6002037178507766	0.20040743570155328	5	300	0.6
0.600331041507512	0.20066208301502408	1	300	0.65
0.600331041507512	0.20066208301502408	2	800	0.8
0.6004583651642476	0.2009167303284951	2	400	0.75
0.600585688820983	0.2011713776419659	29	900	0.6
0.6008403361344538	0.2016806722689075	2	400	0.55
0.6010949834479247	0.20218996689584934	2	500	0.7
0.6010949834479247	0.20218996689584934	3	600	0.8
0.6012223071046601	0.20244461420932014	1	200	1
0.6012223071046601	0.20244461420932014	29	600	0.7
0.6013496307613955	0.20269926152279094	1	1400	0.8500000000000001
0.6013496307613955	0.20269926152279094	2	1200	0.8
0.6014769544181309	0.20295390883626174	2	300	0.6
0.6014769544181309	0.20295390883626174	2	1400	0.95
0.6014769544181309	0.20295390883626174	22	300	0.55
0.6014769544181309	0.20295390883626174	22	300	0.6
0.6014769544181309	0.20295390883626174	22	300	0.65
0.6014769544181309	0.20295390883626174	22	300	0.7
0.6014769544181309	0.20295390883626174	22	300	0.75
0.6014769544181309	0.20295390883626174	22	300	0.8
0.6014769544181309	0.20295390883626174	22	300	0.8500000000000001
0.6016042780748663	0.20320855614973254	1	700	0.5
