"pathway"	"1"	"2"	"3"	"4"
"M1"	-0.614378441955845	0.770258543781095	-0.317900019301852	0.464224404019758
"M2"	-0.651316563927979	-0.18867929904034	0.742829324258122	-0.559443135834911
"M3"	0.656070343845648	-0.321522653007822	-0.807182132129162	0.747153536728309
"M4"	0.650127630496776	-0.75266452153721	-0.317885695887012	0.495653748012609
"M5"	0.224299386866887	-0.67211173287886	0.658398976045643	-0.580279723599902
"M6"	-0.472985357938066	-0.441127722146335	0.529071587278639	0.152133307083915
"M7"	0.710908745183585	0.595924770873175	-0.694274169297478	-0.376561217003541
"M8"	-0.696290309256011	0.744342217678599	0.625625226951127	-0.72304376452307
"M9"	0.72249718470265	-0.574127524316452	-0.393992900894054	-0.530029640398078
"Not.Correlated"	0.274327628361858	0.427846883048098	-0.336589685864751	-0.188618458442528
