"pathway"	"1"	"2"	"3"	"4"
"M1"	-3.52867624072271	4.46955979806533	-2.00147130167562	2.32001664349123
"M2"	-3.69146797969244	-0.984429974649208	4.28685036625724	-3.22535692692727
"M3"	3.67916287077108	-1.65994335440951	-4.9523431949596	3.69909773095452
"M4"	3.5857984002258	-3.84891730448379	-1.92647275809652	2.41814157898323
"M5"	1.19856175383251	-3.32173345767369	3.5819489280352	-3.18564955181381
"M6"	-2.45635105305632	-2.1247809459991	2.80780271439169	0.704498986296806
"M7"	3.62757734309392	3.09900312197988	-3.88768047095424	-1.997604958813
"M8"	-3.51343424105419	3.81627693145523	3.19918193126621	-3.73853436799964
"M9"	3.40601624004886	-2.57237709059751	-1.98002547453624	-2.54207047695053
"Not.Correlated"	1.19854872593524	1.89939427086666	-1.56667617773497	-0.847968107712267
