"genes"	"modules"
"GABBR2"	"M2"
"RSPO3"	"M2"
"PTGDS"	"M4"
"TMEM151B"	"M2"
"GALNT15"	"M6"
"GAP43"	"M4"
"SLC8A2"	"M4"
"ARL4D"	"M1"
"DISC1"	"M1"
"PRKCB"	"M5"
"TUBB4A"	"M6"
"NEB"	"M1"
"FOS"	"M7"
"ZNF385D"	"M2"
"ELAVL4"	"M5"
"SH3GL2"	"M5"
"NETO2"	"M2"
"CNTN2"	"M4"
"NMNAT2"	"M4"
"PLCB1"	"M4"
"UNC5C"	"M9"
"PLPPR3"	"M2"
"SHOX2"	"M1"
"SCRT1"	"M2"
"USH2A"	"M1"
"TLL1"	"M2"
"CACNA1E"	"M5"
"RBFOX3"	"M4"
"KLHL13"	"M5"
"KCNC1"	"M5"
"LMX1A"	"M2"
"ALDH1A3"	"M7"
"CA4"	"M2"
"CXXC4"	"M2"
"GRIK1"	"M1"
"KCNJ2"	"M8"
"CUX2"	"M5"
"ASS1"	"M8"
"MAB21L2"	"M1"
"FLRT2"	"M3"
"SERPINF1"	"M3"
"DUSP4"	"M5"
"ADAMTSL1"	"M4"
"NRL"	"M1"
"NHLH2"	"M5"
"TSPAN18"	"M3"
"ROBO2"	"M4"
"TIGAR"	"M8"
"NHLH1"	"M4"
"DYNC1I1"	"M2"
"ATP8A2"	"M1"
"PTPRN"	"M1"
"UNC13C"	"M5"
"AQP1"	"M6"
"SLC4A8"	"M4"
"LHX2"	"M2"
"JPH3"	"M2"
"SYT7"	"M4"
"KCNJ6"	"M4"
"COLEC12"	"M3"
"ANKRD33B"	"M1"
"DGKG"	"M4"
"COLGALT2"	"M4"
"FUT9"	"M4"
"CAMSAP3"	"M2"
"PPFIA4"	"M5"
"HPCA"	"M2"
"MYO7A"	"M3"
"VASH2"	"M2"
"LRRN3"	"M2"
"C2orf71"	"M1"
"EGFR"	"M4"
"TMEM63C"	"M5"
"NEUROD4"	"M1"
"NGFR"	"M3"
"SULF1"	"M2"
"SDC2"	"M3"
"LTBP2"	"M7"
"GFRA1"	"M3"
"STX3"	"M1"
"MEIS2"	"M8"
"RIMS1"	"M5"
"ZIC5"	"M3"
"ANO2"	"M1"
"CRABP2"	"M1"
"THBS4"	"M6"
"PLXDC1"	"M1"
"FAM198B"	"M9"
"CPLX3"	"M1"
"TSPYL5"	"M8"
"MYO16"	"M4"
"LRRC55"	"M4"
"CLVS2"	"M5"
"NTN1"	"M4"
"AIPL1"	"M1"
"DTX1"	"M5"
"ASTN1"	"M4"
"DIRAS2"	"M8"
"EYA2"	"M8"
"SEMA3C"	"M2"
"PTHLH"	"M2"
"LAMC3"	"M7"
"NEURL1"	"M5"
"STX1B"	"M5"
"NXPH4"	"M1"
"CXCR4"	"M3"
"TSHZ3"	"M1"
"CADPS2"	"M5"
"WIF1"	"M3"
"IQSEC3"	"M1"
"ABCC8"	"M2"
"FAM131B"	"M5"
"PLP1"	"M6"
"CRX"	"M1"
"FSTL4"	"M3"
"MAF"	"M3"
"GABRA5"	"M1"
"NLGN4X"	"M4"
"NRXN3"	"M6"
"CPLX1"	"M9"
"SLIT1"	"M9"
"CARMIL1"	"M3"
"DOCK3"	"M2"
"TMEM132E"	"M2"
"XKR4"	"M2"
"ALDOC"	"M6"
"RPGRIP1"	"M8"
"TNR"	"M6"
"CASZ1"	"M1"
"GRIN2A"	"M4"
"NCKAP5"	"M8"
"HIST2H3A"	"M3"
"AMER3"	"M5"
"C1QTNF4"	"M8"
"B4GALNT1"	"M5"
"UBE2QL1"	"M4"
"SLC13A4"	"M7"
"SRGAP1"	"M4"
"GRIK2"	"M4"
"FBXL7"	"M3"
"INHBB"	"M1"
"PCDHGA1"	"M2"
"MEIS1"	"M3"
"GLI2"	"M3"
"KHDRBS2"	"M2"
"EPHB1"	"M2"
"NWD2"	"M2"
"SERPINA3"	"M6"
"TAGLN3"	"M4"
"PDGFRA"	"M3"
"HIST1H4I"	"M4"
"MYH7"	"M4"
"BRINP1"	"M5"
"USP2"	"M8"
"TPH1"	"M1"
"ADAM19"	"M3"
"PRAME"	"M1"
"SCN3A"	"M2"
"LINGO1"	"M4"
"BTBD11"	"M7"
"INSM2"	"M5"
"RALYL"	"M2"
"GPR155"	"M8"
"AMPH"	"M5"
"APLNR"	"M6"
"ABLIM3"	"M4"
"FKBP10"	"M3"
"KCNH7"	"M2"
"PLCH1"	"M4"
"PPP2R2B"	"M1"
"CA10"	"M6"
"SORBS2"	"M8"
"ZNF154"	"M8"
"SLC1A7"	"M1"
"SPHKAP"	"M9"
"PDE5A"	"M3"
"PCDH8"	"M4"
"SCN2A"	"M6"
"MXRA5"	"M7"
"GRM1"	"M2"
"CDH15"	"M4"
"SLC4A4"	"M6"
"FAIM2"	"M4"
"PLEKHB1"	"M6"
"STUM"	"M4"
"KIF26B"	"M5"
"GRIK3"	"M9"
"HHIP"	"M9"
"DNER"	"M9"
"KCNIP4"	"M2"
"CELF5"	"M5"
"JPH4"	"M4"
"ADGRB3"	"M5"
"LRRC38"	"M8"
"PCDH7"	"M5"
"PRLR"	"M3"
"GRIA1"	"M6"
"DOC2B"	"M2"
"GPR12"	"M2"
"TRIM67"	"M5"
"LRP4"	"M3"
"SV2C"	"M8"
"DNM3"	"M5"
"KCNK3"	"M1"
"SHANK2"	"M4"
"FBN3"	"M2"
"METRN"	"M9"
"HCN2"	"M1"
"ELFN2"	"M2"
"PARM1"	"M3"
"COL12A1"	"M7"
"PRSS12"	"M8"
"STMN4"	"M4"
"GRIN3A"	"M2"
"GRM4"	"M5"
"PRUNE2"	"M1"
"FGF14"	"M5"
"SCG2"	"M2"
"RPS4Y1"	"Not.Correlated"
"FOXG1"	"M8"
"CHST8"	"M2"
"GLIPR2"	"M1"
"TP73"	"M2"
"CD200"	"M2"
"PRELP"	"M7"
"SLC6A15"	"M4"
"PCDHB3"	"Not.Correlated"
"PRPH2"	"M1"
"CDK5R2"	"M1"
"GFPT2"	"M2"
"TNFRSF19"	"M3"
"SLCO5A1"	"M2"
"SYT13"	"M5"
"LOXL1"	"M3"
"UNC5A"	"M4"
"NOL4"	"M5"
"RGL1"	"M3"
"ATRNL1"	"M2"
"ZIC3"	"M2"
"LEF1"	"M3"
"FAM135B"	"M1"
"GAD1"	"M6"
"NTN5"	"M1"
"PPL"	"M2"
"TMEM59L"	"M5"
"VSTM4"	"M3"
"PAX5"	"M2"
"SYNJ2"	"M2"
"CHST1"	"M2"
"IGLON5"	"M4"
"CLDN11"	"M3"
"USP9Y"	"Not.Correlated"
"GRIN2C"	"M4"
"KAZN"	"M4"
"FLRT3"	"M4"
"SHISA6"	"M4"
"RFLNA"	"M2"
"ADARB2"	"M4"
"PRL"	"M8"
"RASGRF2"	"M1"
"COL16A1"	"M3"
"DKK2"	"M7"
"COBL"	"M1"
"SYT6"	"M2"
"ZNF516"	"M4"
"GRIA4"	"M9"
"LINGO2"	"M2"
"FOXP2"	"M5"
"FRMPD1"	"M1"
"RYR3"	"M9"
"GRIN1"	"M5"
"LDOC1"	"M4"
"C7"	"M7"
"CAMKV"	"M2"
"TMEM35A"	"M5"
"GALNT14"	"M1"
"EPHA4"	"M1"
"ANKRD6"	"M9"
"NCAM2"	"M2"
"LRRC7"	"M2"
"ACSL6"	"M1"
"SATB2"	"M3"
"TMEM158"	"M2"
"ACHE"	"M2"
"PCSK9"	"M3"
"KDM5D"	"Not.Correlated"
"APOL4"	"M3"
"ATP2B3"	"M8"
"ADAM12"	"M3"
"KCNA2"	"M4"
"BCL11A"	"M4"
"TOX3"	"M4"
"SOX2"	"M9"
"SLITRK1"	"M7"
"DES"	"M3"
"PCOLCE"	"M7"
"IGF2BP3"	"M1"
"BNC2"	"M7"
"CACNG4"	"M4"
"NRG1"	"M8"
"PITPNM3"	"M2"
"EMILIN3"	"M3"
"WFIKKN2"	"M6"
"RIMS4"	"M5"
"PDE2A"	"M2"
"SPTB"	"M2"
"NCALD"	"M9"
"FZD10"	"M3"
"UBASH3B"	"M4"
"SHD"	"M5"
"SIX6"	"M8"
"WNT16"	"M3"
"RND2"	"M2"
"CYR61"	"M7"
"POU3F2"	"M3"
"NDST3"	"M9"
"ST8SIA5"	"M4"
"RD3"	"M1"
"RCVRN"	"M1"
"TPBG"	"M4"
"HIST3H2BB"	"M4"
"LRIG3"	"M3"
"KCNQ3"	"M3"
"PGM5"	"M3"
"NEFM"	"M1"
"EPHA2"	"M1"
"HSD11B2"	"M3"
"OPCML"	"M4"
"CUBN"	"M1"
"EMID1"	"M4"
"SGIP1"	"M5"
"CNTN4"	"M5"
"FOXO6"	"M1"
"EMX2"	"M3"
"DDX3Y"	"Not.Correlated"
"EPHA6"	"M2"
"KCNN1"	"M8"
"CALN1"	"M9"
"TULP1"	"M1"
"JAKMIP2"	"M4"
"PHGDH"	"M4"
"ABCA7"	"M1"
"EGFLAM"	"M1"
"CHD5"	"M2"
"EFNA5"	"M3"
"CABP7"	"M1"
"PDZRN3"	"M3"
"RYR1"	"M6"
"FMOD"	"M7"
"ITIH2"	"M7"
"PCDHB7"	"M2"
"ALK"	"M3"
"P4HA2"	"M1"
"FAM181B"	"M2"
"TGIF2"	"M3"
"MYCL"	"M4"
"TRIL"	"M4"
"KCNH6"	"M1"
"ADCYAP1"	"M4"
"RASGEF1C"	"M4"
"PHYHIP"	"M5"
"NXPH1"	"M2"
"ADAM11"	"M4"
"HIF3A"	"M1"
"PTPRR"	"M2"
"FAM155A"	"M2"
"IGSF9"	"M3"
"PDPN"	"M9"
"PAX3"	"M4"
"SYK"	"M3"
"NXPH3"	"M4"
"ACKR3"	"M3"
"GXYLT2"	"M3"
"MARCH4"	"M4"
"BCAN"	"M6"
"FLRT1"	"M8"
"PACSIN1"	"M1"
"DSC2"	"M2"
"GABRB2"	"M6"
"DEFA5"	"M1"
"ARPP21"	"M8"
"SPEG"	"M3"
"LMTK3"	"M5"
"GNAT1"	"M1"
"ABCA4"	"M1"
"TMEM233"	"M1"
"RYR2"	"M6"
"NRIP2"	"M4"
"NPR3"	"M1"
"ZMAT4"	"M1"
"CACNG2"	"M2"
"ZNF385B"	"M1"
"CDYL2"	"M2"
"CTNNA2"	"M4"
"KSR2"	"M4"
"DGKI"	"M9"
"TPPP"	"M9"
"FOXP4"	"M1"
"EVC"	"M3"
"SYN2"	"M2"
"EMILIN1"	"M3"
"SLC16A7"	"M2"
"ISLR"	"M7"
"PLPPR1"	"M9"
"HR"	"M1"
"TTBK1"	"M4"
"SLC24A4"	"M2"
"EPHB4"	"M3"
"LHX5"	"M2"
"GAS1"	"M3"
"GRIK4"	"M2"
"PCDHA1"	"M8"
"FAM19A4"	"M1"
"TENM2"	"M3"
"MLC1"	"M6"
"FREM3"	"M2"
"WSCD2"	"M2"
"NEFL"	"M1"
"POU3F3"	"M9"
"CCDC144A"	"M2"
"ERICH3"	"M1"
"SLITRK6"	"M3"
"CXCL12"	"M7"
"MCTP1"	"M5"
"TCERG1L"	"M4"
"TNNI1"	"M8"
"HECW1"	"M4"
"COL4A5"	"M3"
"GABRD"	"M4"
"RUNX2"	"M3"
"HIST1H4L"	"M3"
"LUM"	"M7"
"SOX5"	"M4"
"RUNDC3B"	"M2"
"THBS2"	"M7"
"SGCD"	"M3"
"SVEP1"	"M3"
"TRPC5"	"M8"
"PLCXD3"	"M5"
"WIPF3"	"M2"
"PMP2"	"M6"
"LHX8"	"M3"
"CYYR1"	"M3"
"MAK"	"M8"
"TRIM58"	"M8"
"NR3C2"	"M2"
"LMO3"	"M9"
"TPPP3"	"M1"
"PCSK2"	"M1"
"RNF182"	"M5"
"EBF2"	"M3"
"CRB2"	"M1"
"PTPN5"	"M2"
"MFNG"	"M3"
"CLGN"	"M8"
"GDF7"	"M2"
"BMP7"	"M1"
"VWA5A"	"M1"
"MEGF11"	"M4"
"CBS"	"M4"
"NKD2"	"M4"
"DSG2"	"M3"
"HLX"	"M7"
"RNF112"	"M4"
"SLIT3"	"M2"
"KCNC2"	"M8"
"CNTN6"	"M4"
"CPNE6"	"M1"
"KCND2"	"M5"
"GSG1L"	"M2"
"MGAT4C"	"M6"
"KL"	"M2"
"GPR85"	"M4"
"HRK"	"M4"
"VGF"	"M5"
"AJAP1"	"M4"
"SH3GL3"	"M2"
"GJD2"	"M1"
"PPP1R1B"	"M1"
"SH3RF3"	"M3"
"SNCB"	"M4"
"SAG"	"M1"
"ECHDC2"	"M4"
"ROR2"	"M3"
"TOGARAM2"	"M1"
"NALCN"	"M5"
"ATP2A3"	"M3"
"C11orf87"	"M3"
"PNMA3"	"M8"
"CEND1"	"M4"
"DLL3"	"M4"
"RHO"	"M1"
"CSMD1"	"M9"
"ZCCHC12"	"M5"
"PDE11A"	"M1"
"SBSPON"	"M4"
"RBP3"	"M1"
"SYT2"	"M6"
"COL25A1"	"M3"
"CACNA2D4"	"M1"
"SDK1"	"M4"
"CDH4"	"M5"
"NEGR1"	"M5"
"RP1"	"M1"
"FGF13"	"M2"
"SLC35F3"	"M1"
"S100B"	"M6"
"PAK5"	"M5"
"TTYH1"	"M6"
"PDE3A"	"M9"
"PALMD"	"M1"
"TES"	"M2"
"CHRNA4"	"M8"
"SLITRK3"	"M2"
"CYP1B1"	"M7"
"RSPO2"	"M2"
"GCNT2"	"M4"
"GRIP2"	"M8"
"FAM19A2"	"M2"
"SFRP4"	"M7"
"DLK1"	"M5"
"NEBL"	"M6"
"GRASP"	"M3"
"MEGF6"	"M3"
"MN1"	"M7"
"PAPPA"	"M5"
"BCL11B"	"M1"
"SPSB4"	"M4"
"GALNT9"	"M4"
"SLFN11"	"M3"
"ADAMTS2"	"M7"
"CNGA3"	"M3"
"TMEM51"	"M3"
"LRP2"	"M1"
"LAMA1"	"M7"
"TOX"	"M5"
"SAMD11"	"M1"
"COL11A1"	"M7"
"LEMD1"	"M8"
"FGFR2"	"M4"
"SST"	"M1"
"PCK2"	"M1"
"TBX1"	"M8"
"RFTN2"	"M9"
"LRRC61"	"M1"
"SLC17A6"	"M8"
"SCG5"	"M4"
"FABP7"	"M5"
"SLC13A3"	"M1"
"PTPRT"	"M4"
"RBM24"	"M2"
"IRAK3"	"M7"
"RASL11B"	"M3"
"CHRD"	"M2"
"ADCY2"	"M6"
"MAL2"	"M8"
"PIRT"	"M9"
"PADI2"	"M6"
"GLI3"	"M3"
"ADGRG6"	"M7"
"NYAP1"	"M4"
"CHRM4"	"M2"
"P2RY1"	"M9"
"LUZP2"	"M6"
"NLGN4Y"	"Not.Correlated"
"TSHZ2"	"M4"
"MCF2L2"	"M1"
"CRTAC1"	"M3"
"TCEAL2"	"M5"
"GABRA1"	"M6"
"SYTL4"	"M8"
"FOXF2"	"M3"
"PLPPR5"	"M8"
"MYH8"	"Not.Correlated"
"SCHIP1"	"M4"
"PYGM"	"M2"
"COL8A1"	"M7"
"BEND7"	"M2"
"TMEM169"	"M4"
"C1QL1"	"M9"
"SYNDIG1"	"M3"
"MAP7"	"M1"
"COCH"	"M8"
"KIAA1644"	"M1"
"PNCK"	"M1"
"NYAP2"	"M4"
"PRKCZ"	"M4"
"SRL"	"M3"
"KCNK1"	"M4"
"PRDM6"	"M7"
"GLRA1"	"M1"
"TMSB15A"	"M4"
"BRINP3"	"M6"
"MMD2"	"M2"
"GREM2"	"M2"
"OLFM3"	"M8"
"COL15A1"	"M7"
"PCDH11X"	"M5"
"NFATC1"	"M3"
"DSCAM"	"M9"
"SYT16"	"M2"
"DMRT2"	"M4"
