logFC	AveExpr	t	P.Value	adj.P.Val	B
0.20211743523724082	0.25379563631980945	26.509369693652744	5.949257144014987e-57	2.249562857580667e-56	118.73197635280832
0.20100941599745442	0.16365655325138553	25.146104448370107	2.9530008793179274e-54	1.08276698908324e-53	112.4961938164663
0.13363345626248774	0.15673016666040301	24.906808004742977	8.976407977377757e-54	3.1945451919491426e-53	111.37936858061991
0.21720453505725018	0.25950705221934367	24.17576200379891	2.795045997379857e-52	9.662873305227506e-52	107.92546000637384
-0.19610151238988036	-0.18096523979675916	-24.113955275099823	3.7489520398054005e-52	1.2600644356012596e-51	107.63051856336656
0.20105910359761617	0.2435314359143175	23.08692225251138	5.276124311616989e-50	1.7254352478531235e-49	102.66174540647836
-0.2233514306726817	-0.1327130651067537	-22.83688728232989	1.7940375943003678e-49	5.7125933923774864e-49	101.43254623137665
-0.1886455116113233	-0.11255115414202953	-22.54146527620585	7.694030988567749e-49	2.3871224349146092e-48	99.9702651399067
0.1913142704693615	0.23963471630307365	22.0355357393853	9.549706239267506e-48	2.8887861373784204e-47	97.44082936524873
0.2156541205846164	0.23153190207885213	21.963426373587073	1.3709536890878941e-47	4.045985277552078e-47	97.07771306630912
0.09764181507765002	0.1061509968471672	21.772640225185953	3.5798327645318618e-47	1.031332772638941e-46	96.11384606009821
0.16234050224850463	0.16710157526293837	21.331247137542512	3.3562411734987933e-46	9.444306557984977e-46	93.86639421901793
0.2772728234744144	0.296093149689908	20.475135364146773	2.7638493831305657e-44	7.600585803609056e-44	89.43742041375793
0.23332541817119648	0.20696663770915014	19.730565743566494	1.3813127585990835e-42	3.7141965286775355e-42	85.51043850666625
0.2437473951971761	0.29415845525684975	19.374937062277187	9.170504487230238e-42	2.4122413977279543e-41	83.61023863436998
-0.12304116074617727	-0.08277907525722498	-18.98391171478608	7.486406234254284e-41	1.9273513922229113e-40	81.50269991469719
0.1654782903688935	0.18771231358910895	18.952724625533982	8.858487959357792e-41	2.23307717308811e-40	81.33379132411031
0.22215204877369596	0.28054148737078755	18.601542011296	5.942526524187081e-40	1.4674402233196668e-39	79.42351042932808
-0.15291077434759437	-0.07858029274275795	-18.436044717551454	1.4649222467854834e-39	3.54511183722087e-39	78.51802874194334
0.21689530879183105	0.2774871986405671	18.156175881074535	6.788520832957446e-39	1.6106098446820608e-38	76.97920267958759
0.1714733680517967	0.24004984825632344	18.077387282623473	1.0471409673623701e-38	2.436616481747054e-38	76.54428392218963
0.13907559924123844	0.181269849392897	18.04007886469457	1.2860300734046605e-38	2.9360309223012063e-38	76.33807819418476
0.1358672140126112	0.12892798123896412	17.562314421335714	1.8136624395780407e-37	4.063947318313758e-37	73.68277465747721
0.17834292047416803	0.2056334714800942	17.30446721673887	7.651289568067665e-37	1.6832837049748865e-36	72.23855727382215
0.09981891593687221	0.10633481735927669	16.810448333174975	1.23288718462475e-35	2.6639169524927633e-35	69.45020016984375
0.14800067323672011	0.1609990220281255	16.73260223992185	1.9153737485423474e-35	4.065968834624983e-35	69.00831216662095
0.17920840634898627	0.18308188671571218	16.620722187955963	3.612022224759745e-35	7.535425675791882e-35	68.37205907288808
0.1502087379898214	0.2339719623254156	16.192207307070657	4.1542465133745495e-34	8.519725900310516e-34	65.92256225164991
0.10502860272027412	0.15411024580262314	16.137556200606717	5.680635994607933e-34	1.1455949255792664e-33	65.60875796126717
0.16018740298578338	0.18279808303003725	15.867802340354851	2.6743686326993783e-33	5.3048951566659796e-33	64.05531324758351
0.13573922482032183	0.18352377275100556	15.235469041460073	1.0399158616180157e-31	2.0295132138029016e-31	60.38553132458508
-0.21238834780416277	-0.08779150056697058	-15.087517415124452	2.462631856519342e-31	4.729816740299055e-31	59.52144369714703
0.1597951598647852	0.1382980220134311	14.989571261686294	4.362568718571824e-31	8.247981483549855e-31	58.948325830469535
-0.19431890576655125	-0.11024820513240204	-14.675210090527358	2.7499227914916592e-30	5.119087042622935e-30	57.1032919251167
0.12623553324229625	0.1586874624180645	14.550923892631477	5.7077207817069625e-30	1.0464154766462764e-29	56.37157462031123
0.09366633192655946	0.14534826415591795	14.447262106551236	1.0505149121899576e-29	1.8971985727609682e-29	55.76034172973723
0.1859934097251561	0.2527616540115165	14.427843481828473	1.1778082851788815e-29	2.0958059192153626e-29	55.64574851280644
0.12425317596979932	0.1565339292255571	13.578598194515077	1.800204689346244e-27	3.1568806871144277e-27	50.60815218481655
0.18899470146898953	0.2737491410860178	12.818303312436845	1.686626415147287e-25	2.9154542318974533e-25	46.0634509849732
0.1426195475611802	0.185767765278738	12.570094654161641	7.466009673915788e-25	1.272376296540578e-24	44.574915177516985
0.11027769011511297	0.13133825062425458	12.543087853707084	8.778866161549623e-25	1.4753372299270895e-24	44.41285047057497
-0.15474798363955353	-0.06725395418041745	-12.391176298031962	2.184325546282545e-24	3.620594398632712e-24	43.500943459159316
0.10604027594090337	0.16659684837146707	12.366139721938854	2.5385568101267864e-24	4.1508834327748805e-24	43.35060798917176
-0.23343821709946033	-0.1100988714042405	-12.342273130376396	2.9296259789836553e-24	4.72646324609363e-24	43.207287746989756
0.12572621075181278	0.11965095855997072	12.18669642386646	7.456916679195135e-24	1.1872196291876466e-23	42.272835540264396
0.11487294995250424	0.17713332293291248	12.058106353049055	1.6145756489398598e-23	2.5371903054769225e-23	41.5002799036722
-0.251540678540687	-0.09755577761742475	-11.88264612497553	4.634159588072022e-23	7.188888591752752e-23	40.44601285489315
0.09709678717965452	0.12389310432548138	11.16350954141242	3.485754965806359e-21	5.3389411501591075e-21	36.12833512326346
0.16098184060853693	0.1338215558571011	10.92405245390758	1.4657461223241145e-20	2.216941010015223e-20	34.69385965637684
-0.09479328052733327	-0.03846352777232108	-10.58799277525107	1.0957571781488086e-19	1.6368718340247635e-19	32.68553360813812
-0.2889508249464396	-0.10803103951257494	-10.132922403736424	1.65215773251579e-18	2.437940068712324e-18	29.978518625167794
0.08414052796426474	0.13390780193806157	10.105737218368924	1.9419015878176554e-18	2.8309649653727263e-18	29.817369499722616
0.0784478429555108	0.11601653555398773	9.891438240385517	6.924763635236729e-18	9.974957141233859e-18	28.549648173907542
-0.1569354533331418	-0.005757112319418698	-9.792652341781496	1.2424818885673842e-17	1.7687095119606292e-17	27.966937484425138
0.1270888511338394	0.07882686874817545	9.697662008179654	2.1776904132884514e-17	3.0639597675337515e-17	27.407696649049242
