err.rate	mtry	ntree	nodesize	nsplit
0.6659574468085107	1	100	5	0
0.44468085106382976	1	100	5	1
0.9404255319148936	1	100	10	0
0.9180851063829788	1	100	10	1
0.9127659574468086	1	100	20	0
0.9238534278959811	1	100	20	1
0.9255319148936171	1	100	25	0
0.8893617021276596	1	100	25	1
0.9170212765957447	1	100	30	0
0.8765957446808511	1	100	30	1
0.47765957446808516	1	200	5	0
0.40212765957446805	1	200	5	1
0.9563829787234043	1	200	10	0
0.9223404255319149	1	200	10	1
0.9606382978723405	1	200	20	0
0.951063829787234	1	200	20	1
0.9319148936170213	1	200	25	0
0.9553191489361702	1	200	25	1
0.9245978204462896	1	200	30	0
0.9382978723404256	1	200	30	1
0.4574468085106383	1	300	5	0
0.7602836879432624	1	300	5	1
0.9496453900709221	1	300	10	0
0.9127659574468086	1	300	10	1
0.9361702127659575	1	300	20	0
0.9432624113475178	1	300	20	1
0.9475177304964539	1	300	25	0
0.9539007092198581	1	300	25	1
0.9531914893617022	1	300	30	0
0.9444602048857368	1	300	30	1
0.46171449777337953	1	400	5	0
0.6313829787234042	1	400	5	1
0.9481382978723405	1	400	10	0
0.9507978723404256	1	400	10	1
0.9367021276595745	1	400	20	0
0.9521276595744681	1	400	20	1
0.9466193853427897	1	400	25	0
0.9409574468085107	1	400	25	1
0.9356382978723404	1	400	30	0
0.9446808510638298	1	400	30	1
0.43148936170212765	1	500	5	0
0.5531716971796141	1	500	5	1
0.9224917257683215	1	500	10	0
0.9459574468085107	1	500	10	1
0.9543230174081239	1	500	20	0
0.9536170212765958	1	500	20	1
0.9493617021276596	1	500	25	0
0.9574468085106383	1	500	25	1
0.9417021276595745	1	500	30	0
0.9553191489361702	1	500	30	1
0.5078014184397163	1	600	5	0
0.7542553191489362	1	600	5	1
0.9556120875732347	1	600	10	0
0.9535460992907802	1	600	10	1
0.9549645390070922	1	600	20	0
0.9553191489361703	1	600	20	1
0.9304964539007092	1	600	25	0
0.9457446808510639	1	600	25	1
0.9283687943262412	1	600	30	0
0.9553191489361703	1	600	30	1
0.4689969604863222	1	700	5	0
0.674468085106383	1	700	5	1
0.9498480243161095	1	700	10	0
0.9465045592705168	1	700	10	1
0.9544072948328268	1	700	20	0
0.9486322188449848	1	700	20	1
0.9534954407294833	1	700	25	0
0.947112462006079	1	700	25	1
0.9492401215805472	1	700	30	0
0.9218844984802431	1	700	30	1
0.4734042553191489	1	800	5	0
0.7555851063829787	1	800	5	1
0.9510638297872341	1	800	10	0
0.9558510638297872	1	800	10	1
0.9529255319148937	1	800	20	0
0.953386524822695	1	800	20	1
0.9422872340425532	1	800	25	0
0.9510638297872341	1	800	25	1
0.9486702127659575	1	800	30	0
0.9593085106382979	1	800	30	1
0.4132387706855792	1	900	5	0
0.6947990543735225	1	900	5	1
0.9562647754137117	1	900	10	0
0.9444444444444445	1	900	10	1
0.956501182033097	1	900	20	0
0.9373522458628842	1	900	20	1
0.950354609929078	1	900	25	0
0.9517730496453901	1	900	25	1
0.9524822695035462	1	900	30	0
0.939952718676123	1	900	30	1
0.5030851063829788	1	1000	5	0
0.7692553191489362	1	1000	5	1
0.9500000000000001	1	1000	10	0
0.9531914893617022	1	1000	10	1
0.9536170212765958	1	1000	20	0
0.9527659574468086	1	1000	20	1
0.9514893617021277	1	1000	25	0
0.9591489361702128	1	1000	25	1
0.9574468085106383	1	1000	30	0
0.944468085106383	1	1000	30	1
0.3439071566731141	1	1100	5	0
0.7719535783365571	1	1100	5	1
0.9498065764023211	1	1100	10	0
0.9506769825918763	1	1100	10	1
0.9555125725338491	1	1100	20	0
0.9456479690522244	1	1100	20	1
0.9456479690522244	1	1100	25	0
0.9363636363636364	1	1100	25	1
0.9539651837524178	1	1100	30	0
0.9431334622823985	1	1100	30	1
0.40354609929078017	1	1200	5	0
0.6468085106382979	1	1200	5	1
0.9537234042553192	1	1200	10	0
0.949822695035461	1	1200	10	1
0.9402482269503546	1	1200	20	0
0.9508865248226951	1	1200	20	1
0.9510638297872341	1	1200	25	0
0.9370567375886525	1	1200	25	1
0.949290780141844	1	1200	30	0
0.9550098502758078	1	1200	30	1
0.44099836333878883	1	1300	5	0
0.6124058919803601	1	1300	5	1
0.9353518821603928	1	1300	10	0
0.9505728314238953	1	1300	10	1
0.9536824877250409	1	1300	20	0
0.9570831060192763	1	1300	20	1
0.9571194762684125	1	1300	25	0
0.9456628477905074	1	1300	25	1
0.9464375340971086	1	1300	30	0
0.9517184942716858	1	1300	30	1
0.418693009118541	1	1400	5	0
0.6485562310030395	1	1400	5	1
0.9441573792637623	1	1400	10	0
0.955775075987842	1	1400	10	1
0.9526595744680851	1	1400	20	0
0.9531914893617022	1	1400	20	1
0.9542553191489362	1	1400	25	0
0.9537048294495103	1	1400	25	1
0.9554711246200608	1	1400	30	0
0.9531914893617022	1	1400	30	1
0.5401418439716312	1	1500	5	0
0.6631205673758865	1	1500	5	1
0.9375886524822695	1	1500	10	0
0.9480851063829787	1	1500	10	1
0.9436879432624113	1	1500	20	0
0.9560283687943263	1	1500	20	1
0.9364539007092199	1	1500	25	0
0.932695035460993	1	1500	25	1
0.9581560283687943	1	1500	30	0
0.948936170212766	1	1500	30	1
0.4406222296099291	1	1600	5	0
0.6085771276595745	1	1600	5	1
0.9559840425531916	1	1600	10	0
0.9554521276595745	1	1600	10	1
0.9549202127659575	1	1600	20	0
0.955718085106383	1	1600	20	1
0.9510638297872341	1	1600	25	0
0.9566431544865865	1	1600	25	1
0.9480053191489363	1	1600	30	0
0.9525265957446809	1	1600	30	1
